,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status,Active_mode,Idle_mode
Temperature_C,1.0,-0.001407988232429995,0.0004603135362807765,-0.003981826423209308,0.0017962299032872697,-0.006350245915397833,0.0030354228229686722,-0.004443863616929245,-0.001152563437748257,0.00239726758991793,0.0011450608519454676,-0.0018052706990492645
Vibration_Hz,-0.001407988232429995,1.0,0.00385353785546089,0.010756149294058725,0.0030556049515221566,0.0005061941922193655,0.0020838162404776053,0.0035977609438239667,0.0031579180034478076,0.0061535782007861315,0.0037986981607911435,-0.005972263486128787
Power_Consumption_kW,0.0004603135362807765,0.00385353785546089,1.0,-0.0038875536249549157,-0.0020504438627484867,-0.0008767390915588313,0.0053649854955913675,0.003857283893591133,-0.0007290851188528246,0.0033705079088009278,0.0037311830350999684,-0.003092559976481918
Network_Latency_ms,-0.003981826423209308,0.010756149294058725,-0.0038875536249549157,1.0,-0.0036045313479018057,-0.0034389859218680948,-0.0021065133550335923,-0.003576634175364089,0.0019124197635137913,-0.002742373396228928,-0.00012410192171104657,0.0026484141613279132
Packet_Loss_%,0.0017962299032872697,0.0030556049515221566,-0.0020504438627484867,-0.0036045313479018057,1.0,-5.078365336322578e-06,-0.010406925190070226,0.00023832985450972664,0.0011456006058958837,-0.004678727411326062,-0.0014592935359657212,0.005168934028384442
Quality_Control_Defect_Rate_%,-0.006350245915397833,0.0005061941922193655,-0.0008767390915588313,-0.0034389859218680948,-5.078365336322578e-06,1.0,-0.002684249400308813,0.001014750662696026,-0.0010735495275297293,-0.004670678591448403,0.0019123861548843602,-0.0007390821148303044
Production_Speed_units_per_hr,0.0030354228229686722,0.0020838162404776053,0.0053649854955913675,-0.0021065133550335923,-0.010406925190070226,-0.002684249400308813,1.0,0.002962090086251222,0.005329977301987875,0.3354900391314976,0.004610823088954724,-0.008270021207085233
Predictive_Maintenance_Score,-0.004443863616929245,0.0035977609438239667,0.003857283893591133,-0.003576634175364089,0.00023832985450972664,0.001014750662696026,0.002962090086251222,1.0,0.003906716145425002,-0.0017615766911108133,0.006719926512417916,-0.006871451810620137
Error_Rate_%,-0.001152563437748257,0.0031579180034478076,-0.0007290851188528246,0.0019124197635137913,0.0011456006058958837,-0.0010735495275297293,0.005329977301987875,0.003906716145425002,1.0,-0.6039346866753686,-0.002079408567255364,0.0006489133074153811
Efficiency_Status,0.00239726758991793,0.0061535782007861315,0.0033705079088009278,-0.002742373396228928,-0.004678727411326062,-0.004670678591448403,0.3354900391314976,-0.0017615766911108133,-0.6039346866753686,1.0,0.0019644114999715,-0.002829467536755713
Active_mode,0.0011450608519454676,0.0037986981607911435,0.0037311830350999684,-0.00012410192171104657,-0.0014592935359657212,0.0019123861548843602,0.004610823088954724,0.006719926512417916,-0.002079408567255364,0.0019644114999715,1.0,-0.7664668029187501
Idle_mode,-0.0018052706990492645,-0.005972263486128787,-0.003092559976481918,0.0026484141613279132,0.005168934028384442,-0.0007390821148303044,-0.008270021207085233,-0.006871451810620137,0.0006489133074153811,-0.002829467536755713,-0.7664668029187501,1.0
